,p=1,,,p=-2,,,p=-3,,,p=-4,,,p=-5,,,p=-8,,
,Sum,STD,STDp,Sum,STD,STDp,Sum,STD,STDp,Sum,STD,STDp,Sum,STD,STDp,Sum,STD,STDp
Target black people,29.41,4.90,3.23,29.17,4.92,3.24,29.09,4.92,3.24,29.02,4.93,3.25,28.94,4.93,3.26,28.73,4.95,3.29
Target disabled people,53.59,9.36,6.36,55.85,9.50,6.43,56.68,9.55,6.50,58.37,9.60,6.58,60.43,9.66,6.69,66.87,9.83,7.14
Target gay people,19.40,3.27,2.20,19.93,3.28,2.21,20.11,3.28,2.21,20.29,3.28,2.21,20.47,3.28,2.21,21.03,3.29,2.23
Target immigrants,29.05,4.74,3.31,28.82,4.75,3.32,28.75,4.76,3.33,28.67,4.76,3.33,28.60,4.77,3.34,28.40,4.78,3.37
Target jews,31.78,5.32,3.46,30.70,5.34,3.47,30.36,5.35,3.48,30.03,5.36,3.49,29.71,5.36,3.50,28.81,5.38,3.53
Target muslims,18.28,2.89,1.85,18.43,2.89,1.86,18.48,2.89,1.86,18.53,2.89,1.86,18.58,2.90,1.86,18.74,2.90,1.87
Target trans people,20.80,3.77,2.60,21.49,3.77,2.60,21.72,3.78,2.61,21.95,3.78,2.61,22.19,3.78,2.61,22.89,3.79,2.64
Target women,29.42,4.41,3.24,29.80,4.42,3.25,29.93,4.42,3.25,30.06,4.43,3.26,30.19,4.43,3.27,30.58,4.45,3.31
Langage dutch,24.70,3.81,2.56,25.18,3.81,2.57,25.35,3.82,2.57,25.52,3.82,2.58,25.69,3.82,2.58,26.21,3.83,2.60
Langage english,45.46,6.92,4.60,44.44,6.96,4.62,44.13,6.98,4.64,43.84,6.99,4.65,43.55,7.00,4.67,42.78,7.04,4.74
Langage french,35.03,5.25,3.55,34.39,5.27,3.56,34.19,5.28,3.56,34.00,5.29,3.57,33.82,5.29,3.58,33.31,5.31,3.61
Langage french_bis,36.65,5.48,3.78,37.38,5.51,3.79,37.73,5.52,3.80,38.08,5.53,3.82,38.43,5.53,3.83,39.46,5.56,3.89
Langage italian,40.35,5.72,3.82,41.55,5.75,3.83,41.95,5.76,3.84,42.36,5.77,3.86,42.76,5.78,3.87,43.96,5.81,3.94
Langage portuguese,43.42,6.47,4.56,44.58,6.51,4.58,45.10,6.52,4.60,45.62,6.54,4.62,46.13,6.55,4.64,47.66,6.59,4.74
Langage spanish,63.22,9.47,6.39,67.04,9.60,6.46,68.40,9.65,6.52,69.80,9.70,6.60,71.24,9.76,6.69,75.62,9.91,7.07
